date_time,count,running_total
20/6/20,26,15933
21/6/20,19,15952
22/6/20,3,15955
23/6/20,3,15958
25/6/20,2,15960
26/6/20,4,15964
29/6/20,5,15969
30/6/20,1,15970
1/7/20,35,16005
3/7/20,2,16007
4/7/20,4,16011
5/7/20,7,16018
6/7/20,7,16025
7/7/20,15,16040
8/7/20,3,16043
10/7/20,4,16047
11/7/20,2,16049
12/7/20,3,16052
14/7/20,1,16053
15/7/20,4,16057
16/7/20,14,16071
17/7/20,7,16078
19/7/20,2,16080
20/7/20,4,16084
21/7/20,1,16085
22/7/20,1,16086
23/7/20,5,16091
24/7/20,5,16096
25/7/20,3,16099
26/7/20,7,16106
28/7/20,2,16108
29/7/20,9,16117
30/7/20,3,16120
31/7/20,11,16131
1/8/20,2,16133
2/8/20,21,16154
3/8/20,7,16161
4/8/20,10,16171
5/8/20,4,16175
7/8/20,3,16178
8/8/20,7,16185
9/8/20,12,16197
11/8/20,4,16201
13/8/20,2,16203
14/8/20,1,16204
15/8/20,18,16222
16/8/20,23,16245
17/8/20,6,16251
18/8/20,1,16252
19/8/20,4,16256
20/8/20,19,16275
21/8/20,9,16284
22/8/20,7,16291
24/8/20,16,16307
25/8/20,15,16322
26/8/20,10,16332
27/8/20,4,16336
28/8/20,7,16343
29/8/20,2,16345
30/8/20,31,16376
31/8/20,8,16384
1/9/20,9,16393
2/9/20,8,16401
3/9/20,14,16415
6/9/20,12,16427
7/9/20,2,16429
8/9/20,2,16431
9/9/20,1,16432
10/9/20,3,16435
12/9/20,14,16449
13/9/20,12,16461
14/9/20,8,16469
15/9/20,14,16483
16/9/20,65,16548
17/9/20,16,16564
18/9/20,7,16571
19/9/20,6,16577
20/9/20,5,16582
21/9/20,1,16583
22/9/20,11,16594
23/9/20,5,16599
24/9/20,7,16606
26/9/20,2,16608
27/9/20,23,16631
28/9/20,5,16636
30/9/20,3,16639
1/10/20,27,16666
2/10/20,12,16678
3/10/20,9,16687
5/10/20,3,16690
6/10/20,2,16692
7/10/20,5,16697
8/10/20,1,16698
9/10/20,4,16702
10/10/20,14,16716
11/10/20,10,16726
12/10/20,13,16739
13/10/20,15,16754
14/10/20,26,16780
15/10/20,16,16796
16/10/20,10,16806
17/10/20,2,16808
18/10/20,26,16834
19/10/20,8,16842
20/10/20,12,16854
21/10/20,1,16855
22/10/20,13,16868
23/10/20,7,16875
24/10/20,12,16887
25/10/20,13,16900
26/10/20,9,16909
27/10/20,9,16918
28/10/20,14,16932
29/10/20,1,16933
30/10/20,5,16938
31/10/20,12,16950
1/11/20,4,16954
2/11/20,7,16961
3/11/20,2,16963
4/11/20,6,16969
5/11/20,49,17018
6/11/20,17,17035
7/11/20,2,17037
8/11/20,30,17067
9/11/20,31,17098
10/11/20,11,17109
11/11/20,45,17154
12/11/20,3,17157
13/11/20,29,17186
14/11/20,14,17200
15/11/20,5,17205
16/11/20,11,17216
17/11/20,4,17220
18/11/20,10,17230
19/11/20,3,17233
20/11/20,11,17244
22/11/20,9,17253
23/11/20,38,17291
24/11/20,25,17316
25/11/20,12,17328
26/11/20,14,17342
27/11/20,1,17343
28/11/20,3,17346
29/11/20,5,17351
30/11/20,6,17357
1/12/20,40,17397
2/12/20,9,17406
3/12/20,30,17436
5/12/20,1,17437
6/12/20,9,17446
7/12/20,3,17449
8/12/20,9,17458
9/12/20,12,17470
10/12/20,3,17473
11/12/20,14,17487
12/12/20,7,17494
13/12/20,8,17502
14/12/20,48,17550
15/12/20,45,17595
16/12/20,26,17621
17/12/20,27,17648
18/12/20,7,17655
19/12/20,24,17679
20/12/20,21,17700
21/12/20,24,17724
22/12/20,5,17729
23/12/20,1,17730
24/12/20,2,17732
25/12/20,30,17762
26/12/20,22,17784
27/12/20,13,17797
28/12/20,3,17800
29/12/20,14,17814
30/12/20,5,17819
31/12/20,37,17856
1/1/21,12,17868
2/1/21,12,17880
3/1/21,3,17883
4/1/21,4,17887
6/1/21,9,17896
7/1/21,14,17910
8/1/21,4,17914
11/1/21,3,17917
12/1/21,6,17923
13/1/21,1,17924
14/1/21,3,17927
15/1/21,5,17932
16/1/21,6,17938
17/1/21,13,17951
18/1/21,8,17959
19/1/21,3,17962
22/1/21,9,17971
23/1/21,18,17989
24/1/21,2,17991
25/1/21,2,17993
26/1/21,3,17996
27/1/21,5,18001
28/1/21,14,18015
29/1/21,11,18026
31/1/21,11,18037
1/2/21,28,18065
2/2/21,7,18072
3/2/21,13,18085
4/2/21,16,18101
5/2/21,33,18134
6/2/21,15,18149
8/2/21,1,18150
9/2/21,11,18161
10/2/21,10,18171
11/2/21,10,18181
12/2/21,1,18182
13/2/21,4,18186
14/2/21,4,18190
17/2/21,1,18191
18/2/21,2,18193
19/2/21,5,18198
20/2/21,5,18203
22/2/21,14,18217
23/2/21,15,18232
24/2/21,27,18259
25/2/21,8,18267
26/2/21,8,18275
27/2/21,2,18277
28/2/21,4,18281
1/3/21,18,18299
2/3/21,7,18306
3/3/21,8,18314
4/3/21,9,18323
5/3/21,8,18331
6/3/21,5,18336
7/3/21,9,18345
8/3/21,4,18349
9/3/21,10,18359
10/3/21,13,18372
11/3/21,2,18374
12/3/21,8,18382
14/3/21,3,18385
15/3/21,3,18388
17/3/21,9,18397
18/3/21,2,18399
19/3/21,5,18404
20/3/21,10,18414
22/3/21,8,18422
23/3/21,13,18435
24/3/21,8,18443
25/3/21,3,18446
26/3/21,5,18451
27/3/21,12,18463
28/3/21,5,18468
29/3/21,7,18475
30/3/21,8,18483
31/3/21,3,18486
1/4/21,8,18494
2/4/21,3,18497
4/4/21,3,18500
5/4/21,3,18503
6/4/21,7,18510
7/4/21,7,18517
8/4/21,7,18524
9/4/21,5,18529
10/4/21,4,18533
12/4/21,9,18542
13/4/21,3,18545
14/4/21,2,18547
15/4/21,10,18557
16/4/21,7,18564
17/4/21,10,18574
18/4/21,15,18589
19/4/21,4,18593
20/4/21,7,18600
21/4/21,1,18601
22/4/21,2,18603
23/4/21,10,18613
25/4/21,1,18614
26/4/21,1,18615
27/4/21,1,18616
28/4/21,20,18636
29/4/21,10,18646
30/4/21,7,18653
1/5/21,1,18654
2/5/21,3,18657
4/5/21,8,18665
5/5/21,4,18669
6/5/21,1,18670
7/5/21,3,18673
8/5/21,10,18683
9/5/21,13,18696
11/5/21,1,18697
12/5/21,9,18706
13/5/21,1,18707
16/5/21,3,18710
17/5/21,5,18715
18/5/21,7,18722
19/5/21,4,18726
20/5/21,8,18734
21/5/21,7,18741
23/5/21,4,18745
24/5/21,28,18773
25/5/21,23,18796
26/5/21,14,18810
27/5/21,13,18823
28/5/21,8,18831
30/5/21,14,18845
31/5/21,4,18849
1/6/21,34,18883
3/6/21,10,18893
4/6/21,2,18895
7/6/21,54,18949
8/6/21,5,18954
9/6/21,5,18959
12/6/21,3,18962
14/6/21,3,18965
15/6/21,2,18967
16/6/21,9,18976
18/6/21,32,19008
19/6/21,9,19017
20/6/21,4,19021
21/6/21,11,19032
22/6/21,3,19035
23/6/21,8,19043
24/6/21,4,19047
25/6/21,2,19049
26/6/21,8,19057
27/6/21,6,19063
28/6/21,6,19069
29/6/21,6,19075
30/6/21,3,19078
2/7/21,1,19079
